,id,symbol,price_04-22-21,market_cap_billion(2021),market_cap_rank,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date
648,float-protocol,bank,465.24,0.032778535,649,1570.74,-70.42689,2021-03-21T16:52:25.194Z,243.43,90.82389,2021-03-04T00:34:34.167Z
649,mirrored-apple,maapl,135.84,0.032538801,650,171.98,-21.12006,2021-02-02T21:47:02.041Z,0.0073051,1856950.9569,2020-12-30T04:19:57.144Z
650,lattice-token,ltx,1.01,0.032466807,651,1.49,-32.11921,2021-03-31T07:30:24.579Z,0.075727,1236.23169,2021-01-01T18:31:34.569Z
651,usdk,usdk,0.999997,0.032450986,652,1.11,-9.77737,2021-01-30T17:56:55.243Z,0.922229,8.522,2021-01-04T10:19:17.050Z
652,truefeedbackchain,tfb,0.01372982,0.032351934,653,0.01835316,-25.23062,2021-04-25T12:49:59.873Z,5.009e-05,27295.94043,2020-03-29T17:22:37.293Z
653,benchmark-protocol,mark,1.4,0.032249061,654,4.21,-66.89999,2021-02-02T21:18:48.819Z,0.113005,1134.59717,2020-12-29T20:40:05.872Z
654,mirrored-microsoft,mmsft,262.8,0.032209875,655,312.98,-16.17395,2021-02-03T04:14:37.697Z,206.43,27.09329,2021-01-18T04:24:28.657Z
655,poolz-finance,poolz,15.81,0.032173086,656,65.18,-75.82304,2021-04-11T21:02:53.230Z,5.3,197.34692,2021-01-18T03:49:42.703Z
656,pchain,pi,0.03920121,0.03207958,657,0.919666,-95.74351,2018-07-17T16:29:04.942Z,2.812e-05,139109.59555,2020-04-17T18:27:40.494Z
657,polkamon,pmon,19.64,0.031902118,658,62.1,-68.4045,2021-04-02T01:14:31.704Z,14.14,38.80081,2021-04-25T22:02:43.957Z
658,burst,burst,0.01501299,0.031820575,659,0.121937,-87.6879,2018-01-06T00:00:00.000Z,3.087e-05,48535.74681,2015-11-11T00:00:00.000Z
659,fedoracoin,tips,5.743e-05,0.031781918,660,0.00018024,-68.14528,2021-04-16T22:25:20.528Z,0.0,0.0,2014-04-01T00:00:00.000Z
660,axion,axn,0.00034983,0.031627096,661,0.00075619,-53.79416,2021-03-11T22:04:38.589Z,1.71e-06,20387.90291,2020-12-18T01:08:10.980Z
661,mirrored-netflix,mnflx,513.4,0.031621224,662,692.57,-26.15674,2021-02-03T04:19:35.465Z,481.71,6.16702,2021-01-18T05:28:19.906Z
662,mirrored-twitter,mtwtr,66.68,0.031581991,663,81.05,-17.26629,2021-02-26T17:24:27.410Z,44.31,51.32226,2021-01-19T15:26:27.013Z
663,seur,seur,1.24,0.031514062,664,1.39,-10.97895,2021-02-10T13:46:59.249Z,1.14,9.04061,2021-03-08T08:25:27.129Z
664,furucombo,combo,1.95,0.031293731,665,6.97,-71.95254,2021-02-25T15:39:22.030Z,1.1,77.76255,2021-01-13T08:25:25.046Z
665,cutcoin,cut,0.224387,0.031235046,666,0.282246,-20.49943,2021-04-14T11:20:45.283Z,0.00092902,24053.21316,2020-01-30T06:59:37.396Z
666,rubic,rbc,0.308829,0.031155748,667,0.793213,-60.99511,2021-02-06T04:59:08.114Z,0.00334879,9138.9184,2020-10-26T08:21:54.659Z
667,lgcy-network,lgcy,0.0026506,0.031155339,668,0.00550014,-52.28823,2021-01-19T15:41:09.526Z,0.00012358,2023.51337,2020-11-08T04:20:47.308Z
668,tixl-new,txl,0.449667,0.031094669,669,0.812598,-40.75932,2021-03-29T20:10:53.176Z,0.02958421,1527.1814,2020-11-20T10:04:21.327Z
669,presearch,pre,0.07826,0.031036416,671,0.814159,-90.40738,2018-01-05T00:00:00.000Z,0.0005018,15463.75869,2019-07-17T00:00:00.000Z
670,ichi-farm,ichi,11.02,0.031013699,670,20.6,-46.54356,2021-03-22T17:34:52.576Z,0.247096,4356.31422,2020-11-22T14:43:22.948Z
671,cudos,cudos,0.04413656,0.030784735,672,0.129565,-65.72942,2021-01-17T21:37:35.063Z,0.03336227,33.09243,2021-02-08T01:48:36.749Z
672,mirrored-united-states-oil-fund,muso,42.5,0.030610991,673,46.98,-9.7025,2021-03-14T19:20:19.309Z,33.73,25.74764,2021-01-21T09:52:32.398Z
673,metaverse-etp,etp,0.3807,0.030584284,674,5.56,-93.13999,2018-01-04T00:00:00.000Z,0.056962,569.45739,2020-03-13T02:22:29.036Z
674,ovr,ovr,1.56,0.030534884,675,3.18,-51.13771,2021-03-24T18:58:53.195Z,0.02546331,5996.2954,2021-01-12T02:27:04.727Z
675,kickpad,kpad,0.862501,0.030422246,676,4.51,-81.02349,2021-04-03T04:22:27.175Z,0.797074,7.29689,2021-04-26T09:31:06.615Z
676,filecash,fic,0.544912,0.030376915,677,14.69,-96.30033,2018-12-15T12:23:12.921Z,0.00209163,25885.10543,2019-11-23T02:07:16.823Z
677,mirrored-alibaba,mbaba,235.34,0.030252814,678,328.57,-28.55834,2021-02-04T17:02:18.599Z,221.33,6.05621,2021-04-10T07:04:06.204Z
678,indexed-finance,ndx,8.82,0.030204064,679,27.71,-68.37084,2021-02-04T12:56:42.480Z,1.01,768.67218,2021-01-15T21:44:38.381Z
679,lympo,lym,0.03570709,0.030118933,682,0.142061,-74.94738,2018-06-01T03:34:42.499Z,0.00112684,3058.38659,2020-03-13T02:24:17.525Z
680,oraichain-token,orai,28.17,0.030064346,681,105.76,-73.46507,2021-02-19T23:29:50.620Z,3.01,832.72404,2020-10-29T10:41:05.396Z
681,six-network,six,0.10969,0.030008574,683,0.227716,-51.8657,2021-04-02T06:03:08.450Z,0.00166115,6498.42397,2019-12-13T11:09:25.291Z
682,zap,zap,0.121035,0.029970663,685,1.16,-89.67615,2018-01-13T00:00:00.000Z,0.00132942,8940.90891,2019-11-15T16:13:53.329Z
683,mobiecoin,mbx,0.01478729,0.02992315,684,0.04873406,-69.70102,2021-03-31T03:27:18.782Z,0.00103417,1327.80483,2020-12-24T04:26:21.630Z
684,dhedge-dao,dht,2.74,0.029727831,686,5.52,-50.00356,2021-03-22T20:19:57.875Z,0.362026,662.36054,2020-11-05T17:33:25.928Z
685,pooltogether,pool,17.37,0.029675115,687,53.98,-67.86997,2021-02-20T04:38:40.257Z,8.17,112.18797,2021-02-17T19:08:54.963Z
686,infinitecoin,ifc,0.00032749,0.029669646,680,0.00044917,-26.02126,2018-01-24T00:00:00.000Z,3e-07,109388.74471,2013-07-16T00:00:00.000Z
687,kan,kan,0.00541376,0.029520242,688,0.02442838,-77.83744,2018-06-20T00:50:31.706Z,0.00114167,374.21422,2020-03-13T02:18:06.070Z
688,wepower,wpr,0.04830319,0.029408021,689,0.219374,-78.01,2018-03-02T11:14:44.467Z,0.00233648,1964.65614,2020-03-13T02:29:27.559Z
689,lamden,tau,0.102001,0.029385385,714,0.498623,-80.74901,2018-01-26T00:00:00.000Z,0.00161896,5829.10497,2021-04-10T10:55:51.299Z
690,kine-protocol,kine,2.85,0.029305839,690,6.87,-58.58561,2021-03-15T04:34:58.851Z,2.46,15.84024,2021-04-25T21:35:37.527Z
691,dracula-token,drc,2.04,0.029245172,691,2.33,-12.46739,2021-04-25T11:48:08.118Z,0.01605119,12598.26121,2020-12-21T18:15:48.495Z
692,multivac,mtv,0.0084446,0.029220433,692,0.01850438,-54.35808,2021-04-13T15:37:21.248Z,0.00015261,5434.19122,2020-03-13T02:15:01.467Z
693,mirrored-proshares-vix,mvixy,8.33,0.029129588,693,21.3,-60.92768,2021-02-01T02:18:49.624Z,7.92,5.04643,2021-04-18T03:57:39.626Z
694,chain-guardians,cgg,1.91,0.028972728,694,4.33,-56.0239,2021-03-14T07:05:49.617Z,1.27,50.07974,2021-03-11T10:34:22.976Z
695,modefi,mod,2.65,0.028971551,695,6.09,-56.47744,2021-04-10T08:49:21.341Z,2.02,30.97159,2021-02-19T19:09:43.434Z
696,powertrade-fuel,ptf,1.23,0.028784045,696,2.67,-53.76767,2021-04-06T13:03:51.475Z,0.140929,776.77489,2020-11-20T02:08:26.765Z
697,hitchain,hit,0.0004674,0.028677112,697,0.00104284,-55.24224,2021-04-05T22:50:09.484Z,2.571e-05,1715.10168,2020-12-24T00:25:11.454Z
698,multiplier-bsc,bmxx,23.04,0.028675321,698,48.91,-52.93936,2021-03-09T13:43:22.968Z,19.56,17.64102,2021-04-23T02:46:54.192Z
699,unifty,nif,28.57,0.028591567,699,36.55,-21.77092,2021-04-10T11:31:11.561Z,0.192009,14790.72377,2021-01-21T04:52:13.289Z
700,gambit,gmt,72.57,0.02847676,700,131.61,-46.10649,2021-04-17T07:17:38.228Z,9.56,641.9863,2021-03-09T16:47:33.469Z
701,umbrella-network,umb,0.627601,0.028393642,701,2.62,-76.10769,2021-02-10T05:43:34.688Z,0.568705,10.24068,2021-04-23T08:09:32.105Z
702,crypterium,crpt,0.333847,0.028367352,704,1.58,-78.91402,2018-01-28T00:00:00.000Z,0.072758,358.39269,2018-12-08T00:00:00.000Z
703,adappter-token,adp,0.081991,0.028366743,702,0.113218,-28.3962,2021-04-13T21:59:27.669Z,0.02180977,271.70539,2021-03-08T11:34:01.808Z
704,sparkpoint-fuel,sfuel,0.247046,0.02835051,703,0.440419,-43.85433,2021-04-15T21:10:47.371Z,0.03297625,649.86082,2021-01-27T22:22:47.793Z
705,enq-enecuum,enq,0.169483,0.028226182,706,0.411377,-59.08379,2021-04-10T15:44:56.510Z,0.0048681,3357.60508,2020-11-26T23:03:36.169Z
706,wabi,wabi,0.477093,0.028171182,711,5.31,-91.06232,2018-01-10T00:00:00.000Z,0.04397804,978.83206,2020-03-13T02:24:16.932Z
707,upbots,ubxt,0.082166,0.028148259,707,0.10274,-20.38405,2021-04-14T18:18:58.944Z,0.00872565,837.43413,2020-11-11T11:46:33.556Z
708,mettalex,mtlx,9.34,0.028115219,708,14.4,-35.19323,2021-02-21T20:57:10.224Z,0.482331,1834.82945,2020-11-14T02:56:40.430Z
709,inverse-finance,inv,681.07,0.028073367,709,2075.09,-67.03355,2021-03-07T00:55:13.050Z,377.6,81.16465,2021-03-05T06:45:09.605Z
710,bitmart-token,bmx,0.19092,0.028054884,710,0.25606,-26.08579,2021-04-21T02:56:41.772Z,0.00672692,2713.54469,2020-03-13T02:12:53.990Z
711,babb,bax,0.00084432,0.027778228,705,0.00295988,-70.93339,2018-04-25T00:00:00.000Z,1.465e-05,5773.11964,2021-01-01T05:18:47.022Z
712,govi,govi,4.28,0.027725447,712,4.7,-8.81372,2021-04-22T16:44:06.710Z,0.564216,659.62944,2021-02-04T15:39:43.612Z
713,reflexer-ungovernance-token,flx,615.58,0.027718025,713,1839.79,-66.55996,2021-04-15T20:14:47.371Z,564.39,9.00709,2021-04-26T07:22:33.470Z
714,coinfirm-amlt,amlt,0.08211,0.027595898,715,0.158216,-48.1637,2021-04-19T08:21:03.075Z,0.00029496,27704.73051,2019-11-22T17:04:23.125Z
715,any-blocknet,ablock,3.58,0.027451291,716,6.98,-48.72112,2021-04-19T07:52:44.226Z,3.07,16.60585,2021-04-20T07:27:22.832Z
716,cover-protocol,cover,436.91,0.027122797,717,1687.11,-74.005,2021-02-17T00:11:40.855Z,246.23,78.11187,2021-01-05T07:58:13.313Z
717,horizon-protocol,hzn,0.675628,0.027119591,718,1.25,-45.9705,2021-04-16T23:58:42.224Z,0.493414,37.40793,2021-04-23T09:39:12.732Z
718,swapdex,sdx,0.29073,0.027011736,719,0.428671,-30.37423,2021-04-02T09:47:15.819Z,0.01090397,2637.22036,2021-02-01T14:51:56.903Z
719,yam-2,yam,2.23,0.026920006,720,41.4,-94.62252,2020-09-19T08:42:45.898Z,0.570769,290.06019,2020-10-22T23:52:12.914Z
720,blox,cdt,0.03976713,0.026826079,722,0.291495,-86.3844,2018-01-06T00:00:00.000Z,0.00164788,2308.47608,2020-03-13T02:24:15.284Z
721,permission-coin,ask,0.00506622,0.026804826,721,0.01597277,-68.44964,2021-03-09T02:24:08.473Z,0.00016783,2902.64296,2021-02-04T14:51:40.271Z
722,axel,axel,0.279144,0.026764243,723,0.346746,-19.6517,2021-01-08T12:19:10.143Z,0.076744,263.02852,2020-04-14T08:15:40.864Z
723,step-finance,step,6.63,0.026324994,724,9.5,-30.69719,2021-04-25T19:09:36.227Z,2.3,186.53961,2021-04-25T06:59:04.705Z
724,goose-finance,egg,14.51,0.026168421,725,172.51,-91.59123,2021-02-20T01:09:50.255Z,12.16,19.30475,2021-03-29T01:52:30.412Z
725,wom-token,wom,0.260684,0.026115682,726,0.950545,-72.52763,2021-04-11T01:55:37.982Z,0.02551045,923.6485,2020-03-13T03:49:05.615Z
726,exnetwork-token,exnt,0.414582,0.026106396,727,0.689674,-39.83751,2021-04-17T02:13:57.922Z,0.02243565,1749.3996,2020-11-18T15:49:24.462Z
727,galatasaray-fan-token,gal,7.43,0.026100227,728,18.75,-60.82641,2021-03-10T18:05:38.882Z,1.45,407.25501,2020-09-05T20:09:48.266Z
728,blocknet,block,3.39,0.025960952,731,59.66,-94.34062,2018-01-06T00:00:00.000Z,0.01759274,19093.12204,2015-11-15T00:00:00.000Z
729,fractal,fcl,0.669646,0.02589768,729,1.47,-54.59768,2021-02-25T16:49:25.452Z,0.581594,14.86281,2021-04-25T07:26:26.501Z
730,konomi-network,kono,2.84,0.025885439,730,7.03,-59.63126,2021-03-16T15:28:02.923Z,2.48,14.30644,2021-04-25T07:29:48.186Z
731,bread,brd,0.318668,0.025702233,732,2.78,-88.54763,2018-01-12T00:00:00.000Z,0.04698852,577.86476,2020-11-05T11:34:38.862Z
732,everex,evx,1.17,0.025564512,733,6.13,-80.8993,2018-01-07T00:00:00.000Z,0.094121,1143.86284,2020-03-16T11:09:47.481Z
733,cardstack,card,0.0085292,0.025491738,734,0.01905238,-55.24114,2021-03-01T16:28:17.673Z,0.00016662,5017.99205,2019-12-16T03:33:54.839Z
734,oddz,oddz,2.02,0.02537078,735,3.68,-45.20223,2021-04-06T09:30:59.000Z,1.49,35.28735,2021-03-23T14:16:55.194Z
735,all-sports,soc,0.02160589,0.025278889,737,0.302273,-92.86505,2018-05-06T00:57:53.769Z,0.00175873,1126.28283,2020-03-13T02:29:34.728Z
736,pbtc35a,pbtc35a,125.21,0.025268973,736,216.53,-42.24104,2021-01-14T10:26:17.065Z,64.44,94.0806,2021-01-19T14:54:38.167Z
737,olyseum,oly,0.02126603,0.0252409,738,2.53,-99.1339,2021-02-16T12:42:35.933Z,0.00669826,226.73012,2021-03-30T21:00:27.445Z
738,peercoin,ppc,0.934316,0.025134759,739,9.45,-90.12524,2018-01-13T00:00:00.000Z,0.099635,836.55049,2020-03-13T02:24:08.953Z
739,gather,gth,0.299318,0.025033947,740,0.683163,-56.19776,2021-03-15T16:34:59.390Z,0.01241279,2310.74384,2020-11-20T11:11:35.467Z
740,shroom-finance,shroom,0.48587,0.02492147,741,1.29,-62.46539,2021-03-30T19:01:40.276Z,0.00362545,13277.23531,2020-09-07T16:40:48.992Z
741,moeda-loyalty-points,mda,1.26,0.024783065,742,5.39,-76.61009,2018-01-13T00:00:00.000Z,0.217663,479.55689,2020-03-13T02:24:24.684Z
742,factom,fct,2.53,0.024718637,743,79.45,-96.8154,2018-01-08T00:00:00.000Z,0.074999,3273.61,2015-12-13T00:00:00.000Z
743,appcoins,appc,0.219132,0.024668002,745,3.99,-94.51599,2018-01-10T00:00:00.000Z,0.01442908,1416.0486,2020-03-13T02:24:14.268Z
744,wagerr,wgr,0.113705,0.024589818,744,0.934216,-87.79188,2018-01-13T00:00:00.000Z,0.00163347,6882.06871,2020-11-13T23:15:01.699Z
745,bitberry-token,bbr,10.59,0.024499925,746,15.07,-29.72161,2021-03-01T15:26:16.920Z,3.35,216.13891,2021-03-01T01:40:58.939Z
746,unitrade,trade,0.744371,0.024372088,748,2.6,-71.50993,2020-09-03T09:00:36.027Z,0.103202,617.14044,2020-08-05T16:29:14.251Z
747,dynamic,dyn,1.58,0.024360675,747,7.53,-78.89515,2017-12-27T00:00:00.000Z,0.00863199,18312.40687,2019-08-04T00:00:00.000Z
748,digitalnote,xdn,0.00482091,0.024272928,749,0.064556,-92.54563,2018-01-06T00:00:00.000Z,1.196e-05,40124.79295,2014-06-28T00:00:00.000Z
749,impulse-by-fdr,impulse,738.64,0.024221481,750,740.25,-1.61123,2021-04-26T13:04:19.483Z,103.74,602.06252,2021-02-04T16:07:19.763Z
750,impulse-by-fdr,impulse,738.64,0.024221481,750,740.25,-1.61123,2021-04-26T13:04:19.483Z,103.74,602.06252,2021-02-04T16:07:19.763Z
751,content-value-network,cvnt,0.03815337,0.024132936,752,0.07403,-48.46261,2021-03-10T11:39:22.945Z,0.00189374,1914.7094,2020-03-13T02:25:12.210Z
752,csp-dao-network,nebo,23.01,0.024113957,753,35.29,-36.6365,2021-04-13T16:32:54.966Z,0.806202,2673.68732,2020-12-25T18:44:29.199Z
753,bilira,tryb,0.122134,0.024067048,754,0.172011,-28.99632,2019-12-15T20:14:10.526Z,0.02671255,357.21547,2020-02-01T07:42:27.908Z
754,kira-network,kex,0.913107,0.024054681,755,2.72,-66.47408,2021-02-17T20:49:17.535Z,0.177284,414.09878,2020-12-03T12:48:13.356Z
755,jibrel,jnt,0.141023,0.023888944,756,0.604796,-76.68257,2018-02-18T00:00:00.000Z,0.00501116,2714.17604,2020-11-18T14:58:52.882Z
756,strong,strong,154.19,0.023803809,757,321.76,-52.36356,2020-09-02T14:18:09.530Z,13.9,1002.35881,2021-01-11T16:44:11.276Z
757,telos,tlos,0.112994,0.023606094,758,0.383023,-70.53871,2021-03-03T12:53:11.126Z,0.00119321,9357.15916,2020-12-04T16:07:02.145Z
758,lido-dao,ldo,0.952606,0.023600827,759,3.3,-71.13187,2021-02-02T04:53:19.982Z,0.505506,88.34955,2021-03-27T09:10:29.155Z
759,deus-finance,deus,10.3,0.023600815,760,11.57,-11.0135,2021-04-15T23:29:47.826Z,0.735934,1298.87392,2020-10-03T10:44:08.253Z
760,sake-token,sake,0.315479,0.023536436,761,3.18,-89.97026,2020-09-13T15:55:02.467Z,0.00370687,8515.49875,2020-12-25T00:28:57.160Z
761,tokenclub,tct,0.04041139,0.023390756,762,0.088381,-54.34774,2021-04-06T06:09:37.660Z,0.00293632,1274.09241,2020-03-13T02:19:47.157Z
762,vecrv-dao-yvault,yve-crvdao,2.53,0.02324435,763,3.36,-24.50214,2021-04-17T01:47:03.415Z,1.66,52.79963,2021-02-28T17:52:25.994Z
763,deri-protocol,deri,0.420227,0.023200754,764,3.77,-88.86744,2021-02-12T18:27:27.647Z,0.130946,220.75177,2021-04-23T08:13:47.617Z
764,eleven-finance,ele,6.32,0.023102625,765,7.68,-17.7489,2021-04-22T13:27:54.508Z,2.77,128.00268,2021-03-28T15:09:39.593Z
765,unisocks,socks,73096.0,0.023011553,766,164012.0,-55.45804,2021-03-04T01:49:05.174Z,41.65,175298.92243,2020-03-13T00:55:36.393Z
766,opacity,opct,0.187176,0.022973006,767,0.576742,-67.39265,2021-04-01T23:54:21.913Z,3.059e-05,614680.44915,2020-10-07T00:18:59.017Z
767,aitra,aitra,5.97,0.022787789,768,7.25,-17.68246,2021-04-14T11:53:23.973Z,0.228443,2511.53214,2020-10-02T10:28:16.244Z
768,sonm,snm,0.051998,0.022754293,769,0.744597,-93.01666,2018-01-06T00:00:00.000Z,0.00384147,1253.59123,2020-03-13T02:24:50.351Z
769,archer-dao-governance-token,arch,2.26,0.022719446,770,3.8,-40.70663,2021-04-22T00:24:48.530Z,0.119501,1787.45914,2020-12-24T09:31:30.607Z
770,rio-defi,rfuel,0.101443,0.022703514,771,0.260951,-61.25334,2020-09-28T10:54:16.967Z,0.03612616,179.87954,2020-12-29T04:14:37.401Z
771,foam-protocol,foam,0.064211,0.022633666,775,0.151804,-58.02082,2021-03-28T05:29:44.724Z,0.00532239,1097.31815,2020-05-14T05:02:44.846Z
772,spankchain,spank,0.03727215,0.022551265,772,0.635766,-94.13744,2018-01-13T00:00:00.000Z,0.00088924,4091.47333,2020-03-16T11:09:32.511Z
773,sylo,sylo,0.00868533,0.022518804,773,0.01124638,-22.88762,2021-04-20T23:42:28.510Z,0.00076816,1028.97991,2021-01-05T00:42:25.527Z
774,multiplier,mxx,0.224698,0.022505509,774,0.880927,-74.49302,2021-03-03T02:53:54.416Z,0.0064395,3389.37074,2020-10-20T20:59:53.820Z
775,filda,filda,0.786395,0.022411955,777,2.36,-66.98131,2021-02-20T01:00:26.617Z,0.310645,151.21847,2021-03-27T13:54:39.365Z
776,singulardtv,sngls,0.02514455,0.02237331,778,0.435405,-94.23251,2018-01-08T00:00:00.000Z,0.00267476,838.84886,2020-03-13T02:28:58.743Z
777,freeway-token,fwt,0.01119924,0.022259449,779,0.02211116,-49.52797,2021-03-23T11:45:05.717Z,0.00143369,678.40825,2020-11-05T07:47:39.605Z
778,easyfi,easy,13.68,0.022249232,780,43.55,-68.61963,2021-04-06T19:29:47.770Z,1.07,1179.20562,2020-10-19T06:14:05.454Z
779,ubiq,ubq,0.519987,0.022086823,781,6.82,-92.39142,2018-01-03T00:00:00.000Z,0.00233382,22118.25548,2014-12-07T00:00:00.000Z
780,coinvest,coin,0.268795,0.021906474,782,0.543732,-50.29624,2021-04-14T08:45:29.582Z,0.109008,147.92126,2020-12-15T04:22:56.347Z
781,octofi,octo,62.21,0.021904218,783,127.81,-51.43317,2021-02-15T21:34:24.398Z,6.19,902.33311,2020-10-21T04:13:53.923Z
782,idle,idle,12.44,0.021684461,784,30.65,-59.41671,2021-02-13T23:18:42.455Z,0.789683,1474.99397,2020-12-04T15:31:23.992Z
783,simple-token,ost,0.0311642,0.02155064,785,1.31,-97.62327,2018-01-10T00:00:00.000Z,0.00413136,653.47984,2020-03-13T02:29:19.652Z
784,poa-network,poa,0.074031,0.021244811,788,0.935923,-92.09798,2018-05-10T09:45:31.809Z,0.00437214,1591.54541,2020-03-13T02:25:53.450Z
785,falcon-token,fnt,0.00229751,0.02123113,787,0.006536,-64.73212,2021-02-19T18:29:18.280Z,4.66e-05,4846.46279,2020-11-06T17:21:16.092Z
786,ice-token,ice,4.94,0.021221569,789,9.58,-48.1523,2021-04-13T01:57:39.036Z,2.4,107.27056,2021-03-31T19:05:24.346Z
787,props,props,0.079194,0.021201801,790,0.699816,-88.70284,2018-11-07T09:01:21.001Z,0.01658134,376.79706,2020-12-19T17:09:22.883Z
788,aurora,aoa,0.00485772,0.021107859,786,0.061044,-91.99104,2018-07-18T16:31:09.095Z,0.00066127,639.32933,2020-03-13T02:39:04.941Z
789,antimatter,matter,2.09,0.021071195,791,6.05,-65.49313,2021-04-08T22:44:36.228Z,1.37,51.8349,2021-02-27T14:58:13.086Z
790,arcblock,abt,0.213516,0.021048411,792,1.65,-87.14899,2018-05-06T00:08:52.717Z,0.04949826,329.16495,2020-03-13T02:17:32.390Z
791,ruff,ruff,0.02231753,0.020989641,796,0.168013,-86.95932,2018-05-03T03:38:13.266Z,0.00254806,759.86929,2020-03-13T02:20:35.581Z
792,bnktothefuture,bft,0.063087,0.020818042,793,0.356106,-82.29394,2018-05-05T19:53:48.982Z,0.00343986,1732.99126,2020-03-19T05:49:17.735Z
793,crowns,cws,18.29,0.020696665,794,61.33,-70.2144,2021-03-16T16:20:21.104Z,7.8,134.26473,2021-02-01T11:17:10.092Z
794,xtoken,xtk,0.729704,0.020626074,795,1.39,-47.70455,2021-04-02T23:53:33.376Z,0.144744,403.46441,2021-02-28T15:46:18.036Z
795,data,dta,0.00183565,0.02059623,797,0.057455,-96.80539,2018-01-25T00:00:00.000Z,0.00011707,1467.79196,2020-03-13T02:34:39.631Z
796,cybermiles,cmt,0.02565858,0.020526862,805,0.58627,-95.67003,2018-01-07T00:00:00.000Z,0.00443932,471.82889,2020-03-13T02:20:45.255Z
797,swarm,swm,0.260485,0.020488352,799,2.16,-87.96005,2018-01-28T00:00:00.000Z,0.00054216,47828.84492,2019-03-23T00:00:00.000Z
798,ptokens-btc,pbtc,52673.0,0.020464482,798,5384182.0,-99.02272,2020-04-21T00:47:07.250Z,4332.84,1114.41732,2020-03-13T02:30:38.036Z
799,gains,gains,0.756339,0.020437217,800,1.86,-59.30993,2021-04-11T12:47:10.214Z,0.544957,38.898,2021-04-23T06:43:33.835Z
800,e-money,ngm,1.14,0.020433868,801,2.76,-58.71061,2021-04-06T20:57:46.205Z,0.575344,97.93869,2021-01-29T10:29:03.496Z
801,option-room,room,1.57,0.020420524,802,4.66,-66.30237,2021-02-05T13:37:34.254Z,1.29,21.87315,2021-04-20T06:57:50.280Z
802,stellite,xla,0.00204186,0.020406232,857,0.00352308,-52.25567,2021-04-24T18:24:40.610Z,1.18e-05,14156.17502,2020-03-30T00:19:18.637Z
803,gulden,nlg,0.03757572,0.020372067,804,0.523415,-92.83347,2018-01-12T00:00:00.000Z,0.00040016,9273.89365,2014-04-08T00:00:00.000Z
804,stone-token,stn,2.56,0.020298547,806,7.7,-67.12636,2021-03-31T09:26:30.215Z,0.355251,612.27729,2021-03-31T07:04:06.383Z
805,nix-platform,nix,0.413475,0.020280315,776,6.83,-93.29221,2018-09-07T12:06:11.817Z,0.01854294,2369.66875,2021-01-22T00:36:45.437Z
806,polkafoundry,pkf,1.43,0.020235014,807,2.91,-50.97878,2021-03-18T06:56:02.084Z,1.0,42.41397,2021-04-20T04:50:53.070Z
807,roobee,roobee,0.01677755,0.020152986,808,0.01913708,-12.56981,2021-04-17T05:14:48.429Z,0.00169,890.03575,2020-03-13T02:14:49.216Z
808,autonio,niox,0.242945,0.020102878,803,0.822057,-70.09884,2018-01-08T00:00:00.000Z,9.77e-06,2516092.47753,2020-06-15T06:28:50.660Z
809,ac-milan-fan-token,acm,10.05,0.020084472,809,23.2,-56.73818,2021-02-24T11:58:10.427Z,4.51,122.61519,2021-02-23T09:27:43.171Z
810,geodb,geo,1.03,0.02002392,811,5.0,-81.37855,2021-03-27T09:39:18.781Z,0.03594738,2488.49189,2020-10-30T10:33:26.594Z
811,muse-2,muse,34.61,0.019969991,812,124.14,-72.15824,2021-03-14T08:04:49.794Z,0.124326,27698.9274,2021-01-21T22:58:29.475Z
812,odyssey,ocn,0.00199011,0.019904153,810,0.075536,-97.34269,2018-01-28T00:00:00.000Z,0.00014559,1278.70027,2020-03-13T02:29:16.490Z
813,blockv,vee,0.00603068,0.019726396,813,390448.0,-100.0,2018-01-16T00:00:00.000Z,1.06e-05,56730.75284,2020-04-06T10:03:57.025Z
814,anj,anj,0.152886,0.019610278,814,0.246297,-37.95057,2021-04-18T19:05:12.369Z,0.00319575,4682.15375,2021-01-01T03:29:38.845Z
815,bibox-token,bix,0.166893,0.019593101,815,1.77,-90.58833,2018-06-09T22:39:43.939Z,0.0485422,243.86275,2020-11-04T15:57:18.560Z
816,vanilla-network,vnla,28.07,0.01958908,816,74.44,-62.34479,2021-04-01T22:18:27.337Z,0.14249,19571.70369,2021-01-11T10:44:15.641Z
817,shyft-network-2,shft,2.15,0.01954338,817,6.34,-66.17709,2021-03-28T10:56:14.218Z,1.86,15.39536,2021-04-25T07:28:32.595Z
818,cargox,cxo,0.117734,0.019486058,819,0.418262,-71.90039,2021-04-10T13:51:08.934Z,3.988e-05,294629.07165,2020-01-01T01:02:55.491Z
819,deltahub-community,DHC,2.56,0.019481242,818,4.03,-37.35532,2021-04-15T14:04:36.978Z,0.00034703,726891.55462,2021-01-18T11:41:53.010Z
820,time-new-bank,tnb,0.00567843,0.01946667,820,0.332601,-98.30683,2018-01-08T00:00:00.000Z,0.00068192,725.83382,2020-03-13T02:24:14.963Z
821,hybrix,hy,8.23,0.019286125,822,12.99,-36.74242,2021-04-17T06:13:52.205Z,0.219953,3636.4919,2020-06-21T06:54:30.869Z
822,gamecredits,game,0.261973,0.019140043,821,6.67,-96.02976,2018-01-13T00:00:00.000Z,3.25e-06,8143048.93073,2014-11-01T00:00:00.000Z
